ip,whois_network_age_days,port_count_bucket,has_non_web_ports,root_2xx_html,root_redirect_like,http_any_is_html,http_any_supports_http2,server_family,cert_present,cert_validation_group,cert_remaining_days,cert_chain_len,cert_recently_issued,cert_short_lived,cert_age_ratio,has_dns_names_data,dns_num_labels,dns_max_label_length,dns_label_entropy,dns_brand_plus_auth_combo,dns_has_brand_token,dns_suspicious_token_count,dns_has_digit_hyphen_pattern,dns_has_punycode,label
91.240.21.9,7.328437352895162,2_3,1,0,1,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,5,18,1.6065239851754984,0,0,5,1,0,1
176.53.12.17,7.71289096149013,4_plus,1,1,0,1,0,common_self_managed,1,dv,5.968707559985366,1.0986122886681096,1,1,0.0,1,6,18,1.7497098224233991,0,1,3,1,0,1
190.92.174.125,0.0,4_plus,1,1,0,1,0,common_self_managed,1,dv,0.0,1.0986122886681096,0,1,1.0,1,5,23,1.8329379803780126,0,1,4,0,0,1
43.157.61.30,0.0,2_3,1,1,0,1,0,common_self_managed,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,12,2.4460736118322672,0,0,1,0,0,1
182.16.78.67,0.0,4_plus,1,1,0,1,0,common_self_managed,1,dv,6.733401891837359,0.6931471805599453,1,1,0.0,1,3,18,1.8769880611896144,0,0,1,0,0,1
144.172.94.39,0.0,2_3,1,1,0,1,0,common_self_managed,1,none_or_unknown,8.388222810119277,0.0,1,0,0.0,1,7,11,1.758662520073813,0,1,2,0,0,1
158.252.21.145,0.0,2_3,1,0,0,1,0,common_self_managed,0,none_or_unknown,0.0,0.0,0,0,0.0,1,5,18,1.9682122226789605,0,1,3,1,0,1
82.39.117.51,0.0,4_plus,1,1,0,1,1,common_self_managed,1,dv,6.1070228877422545,0.6931471805599453,1,1,0.0,1,3,10,1.6376658558543105,0,0,1,0,0,1
212.104.128.2,0.0,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,20,2.0548629718955294,1,1,4,0,0,1
47.77.231.95,7.954021087278037,2_3,1,1,0,1,0,common_self_managed,1,dv,6.744059186311348,0.6931471805599453,1,1,0.0,1,2,7,2.1632550911340322,0,1,3,0,0,1
192.236.147.234,8.264878262801748,4_plus,1,1,0,1,1,common_self_managed,1,dv,7.005789019253503,1.0986122886681096,1,0,0.0,1,3,15,2.226976665374832,0,0,1,1,0,1
76.223.105.230,7.688455356549944,2_3,0,0,0,0,0,other,1,dv,6.925595197110468,0.6931471805599453,1,0,0.0,1,4,23,1.8041812564233446,1,1,4,0,0,1
181.174.165.110,8.214465160759186,4_plus,1,0,1,1,1,common_self_managed,1,none_or_unknown,7.022868086082641,0.0,1,0,0.0,1,3,15,1.9872459348332565,0,0,0,0,0,1
