ip,whois_network_age_days,provider_is_hosting,num_distinct_ports,port_count_bucket,has_non_web_ports,http_observed,root_2xx_html,root_redirect_like,http_any_is_html,http_any_supports_http2,server_family,cert_present,cert_validation_group,cert_remaining_days,cert_chain_len,cert_recently_issued,cert_short_lived,cert_age_ratio,has_dns_names_data,dns_suspicious_token_count,dns_has_auth_token,dns_has_brand_token,dns_name_depth,dns_has_punycode,dns_has_digit_hyphen_pattern,label
64.29.17.67,0.0,1,1.0986122886681096,2_3,0,1,0,1,0,1,unknown,1,dv,6.7357800142423265,0.6931471805599453,1,1,0.0,1,2,0,0,1.05,0,1,1
185.27.134.102,8.260751354700513,0,0.0,1,0,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,1,1,0.9,1,1,1
178.211.133.15,6.561030665896573,0,3.2188758248682006,4_plus,1,1,0,0,1,1,other,1,dv,6.733401891837359,0.6931471805599453,1,1,0.0,1,1,0,0,0.87,0,0,1
104.26.11.157,8.17948018535889,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,1,0,0,1.12,0,1,1
50.6.206.247,8.483843211734683,1,2.9444389791664403,4_plus,1,1,1,0,1,1,common_self_managed,1,dv,6.744059186311348,0.6931471805599453,1,1,0.0,1,1,0,0,1.55,0,0,1
31.22.4.234,8.37378460812088,0,0.6931471805599453,1,1,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,0,1,1.49,0,0,1
162.159.138.60,8.262558973010657,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,1,dv,6.7226297948554485,1.0986122886681096,1,1,0.0,1,3,1,1,1.38,0,0,0
150.171.28.10,7.993282328101591,0,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.823286122355687,0.6931471805599453,1,0,0.0,1,3,1,1,1.38,0,1,0
216.239.32.29,9.04085606398372,1,1.0986122886681096,2_3,0,1,0,1,1,1,unknown,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,1,0,1,1.27,0,1,0
150.171.22.12,7.993282328101591,0,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.813444599510896,0.6931471805599453,1,0,0.0,1,0,0,0,1.1875,0,1,0
87.240.132.72,8.541300266759471,0,1.0986122886681096,2_3,0,1,0,0,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,1.07,0,1,0
170.114.52.2,7.055312843339752,1,1.0986122886681096,2_3,0,1,0,0,1,1,edge_or_cdn,1,ov_ev,6.9975959829819265,1.0986122886681096,1,0,0.0,1,0,0,0,1.0,0,0,0
17.253.144.10,9.418492105471156,0,1.0986122886681096,2_3,0,1,0,0,1,1,unknown,1,ov_ev,6.75343791859778,1.0986122886681096,1,1,0.0,1,2,0,1,1.04,0,0,0
13.107.138.10,8.07215530818825,0,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.823286122355687,0.6931471805599453,1,0,0.0,1,2,1,0,1.37,0,1,0
151.101.2.132,7.969703583278656,0,1.0986122886681096,2_3,0,1,0,0,0,1,other,1,dv,6.930494765951626,0.6931471805599453,1,0,0.0,1,3,1,0,0.8,0,1,0
